,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,35,26,9,0.743,15.19,3.34,10,6,17,1,6,5,2414,1960,,,,0.373,0.475,0.617,48.5,65.4,,3.4,0.585,15.5,,0.282
Akron,33,26,7,0.788,10.9,-1.9,13,3,13,1,10,4,2485,2014,,,,0.354,0.336,0.573,51.7,55.9,,7.9,0.551,16,,0.237
Alabama A&M,30,10,20,0.333,-23.55,-12.38,4,14,9,5,0,13,1856,2052,,,,0.375,0.328,0.466,44.7,49.6,,13,0.431,21.3,,0.237
Alabama-Birmingham,31,15,16,0.484,3.97,3.83,7,9,9,4,5,9,2051,2016,,,,0.428,0.368,0.513,49.8,49.2,,6.2,0.486,17.6,,0.26
Alabama State,30,10,20,0.333,-17.9,-11.54,8,10,7,5,3,11,1826,2007,,,,0.418,0.352,0.462,47.9,47.1,,5.2,0.418,17.6,,0.271
Alabama,32,20,12,0.625,10.81,6.24,7,9,14,2,2,9,2369,2223,,,,0.361,0.304,0.547,52.7,49.8,,8.6,0.513,16.9,,0.255
Albany (NY) NCAA,33,23,10,0.697,-1.6,-4.75,13,3,11,2,11,7,2241,2147,,,,0.329,0.344,0.55,52.2,54.6,,4.8,0.517,17.7,,0.237
Alcorn State,30,11,19,0.367,-22.48,-13.23,10,8,8,3,3,12,2012,2265,,,,0.397,0.298,0.496,49.3,40.1,,4.8,0.456,21.7,,0.267
American,30,16,14,0.533,-2.68,-4.38,7,7,10,3,6,11,1945,1865,,,,0.361,0.317,0.524,51.7,59.6,,4.5,0.482,18.2,,0.263
Appalachian State,33,25,8,0.758,4.68,-1.19,15,3,12,1,9,6,2508,2239,,,,0.326,0.363,0.569,51,56.5,,6.6,0.545,18.1,,0.224
Arizona State,30,8,22,0.267,3.31,7.95,2,16,7,11,1,10,1755,1853,,,,0.291,0.401,0.502,51.5,61.9,,4.1,0.476,19.9,,0.191
Arizona NCAA,31,20,11,0.645,16.24,10.76,11,7,11,5,7,4,2417,2247,,,,0.416,0.285,0.57,54.1,60.4,,5.3,0.527,16.8,,0.312
Little Rock,30,13,17,0.433,-9.87,-5.56,8,10,7,6,5,11,1979,2075,,,,0.426,0.326,0.518,53.6,57.8,,4.5,0.48,19,,0.286
Arkansas-Pine Bluff,31,12,19,0.387,-17.21,-10.86,9,9,7,3,4,15,1862,2022,,,,0.335,0.243,0.459,49.1,43.5,,7.4,0.427,19.3,,0.21
Arkansas State,33,18,15,0.545,-6.47,-5.63,11,7,11,2,5,10,2392,2375,,,,0.395,0.334,0.553,49.3,55,,6.3,0.523,19,,0.269
