,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian NCAA,33,27,6,0.818,-1.3,-8.13,14,4,13,2,10,4,2458,2082,,1330,880,1858,0.474,246,637,0.386,452,632,0.715,322,1093,514,288,90,397,619
Air Force,32,14,18,0.438,-3.94,0.58,8,10,9,6,3,9,2179,2294,,1300,802,1777,0.451,234,712,0.329,341,503,0.678,253,1077,434,154,57,423,543
Akron,33,17,16,0.515,5.2,1.42,8,10,14,3,1,10,2271,2107,,1325,797,1948,0.409,297,929,0.32,380,539,0.705,312,1204,399,185,106,388,569
Alabama A&M,32,5,27,0.156,-19.28,-8.44,4,14,4,7,0,18,1938,2285,,1295,736,1807,0.407,182,576,0.316,284,453,0.627,314,1025,384,234,49,487,587
Alabama-Birmingham,34,20,14,0.588,0.85,-1.25,10,8,11,5,6,5,2392,2287,,1370,879,1938,0.454,227,675,0.336,407,607,0.671,353,1237,395,215,80,388,559
Alabama State,31,12,19,0.387,-15.69,-7.93,9,9,8,3,3,13,2086,2235,,1250,712,1763,0.404,216,674,0.32,446,684,0.652,365,1094,313,203,102,451,565
Alabama,33,18,15,0.545,10.27,9.79,8,10,10,5,4,8,2369,2353,,1320,827,1876,0.441,233,688,0.339,482,722,0.668,368,1241,401,152,154,449,560
Albany (NY),32,12,20,0.375,-9.21,-6.53,7,9,6,8,6,10,2150,2216,,1300,728,1750,0.416,274,790,0.347,420,564,0.745,294,1083,402,195,78,454,566
Alcorn State,31,10,21,0.323,-22.15,-9.04,6,12,10,3,0,17,1995,2194,,1245,709,1721,0.412,211,646,0.327,366,543,0.674,334,1079,391,229,107,492,548
American,30,15,15,0.5,-4.02,-7.05,9,9,8,7,6,8,2161,2070,,1220,780,1643,0.475,190,583,0.326,411,589,0.698,251,1013,401,221,131,386,520
Appalachian State,32,11,21,0.344,-3.59,0.24,6,12,9,5,2,12,2557,2539,,1290,880,1938,0.454,292,814,0.359,505,706,0.715,310,1126,406,171,89,418,585
Arizona State NCAA,32,22,10,0.688,10.46,5.71,12,6,13,3,6,5,2490,2338,,1300,851,1903,0.447,232,680,0.341,556,829,0.671,389,1283,435,199,103,434,635
Arizona,32,17,15,0.531,8.36,6.36,8,10,12,5,4,7,2269,2205,,1290,794,1861,0.427,235,699,0.336,446,620,0.719,324,1116,397,165,73,370,594
Little Rock,31,10,21,0.323,-4.64,-1.85,5,13,7,9,3,12,2301,2353,,1250,817,1687,0.484,206,581,0.355,461,703,0.656,244,1060,443,169,87,503,622
Arkansas-Pine Bluff,32,13,19,0.406,-14.51,-8.25,10,8,8,2,4,17,2108,2269,,1300,719,1685,0.427,194,574,0.338,476,702,0.678,317,1063,365,216,108,478,629
Arkansas State,32,13,19,0.406,-6.83,-0.97,7,11,10,4,2,13,2359,2475,,1310,796,1904,0.418,237,709,0.334,530,721,0.735,403,1211,363,183,139,448,684
Arkansas,33,18,15,0.545,12.14,8.99,8,10,12,6,4,7,2499,2395,,1330,874,1949,0.448,251,724,0.347,500,749,0.668,337,1111,521,266,162,439,667
Army,32,13,19,0.406,-7.35,-4.51,8,10,10,4,3,13,2268,2305,,1280,837,1956,0.428,272,864,0.315,322,471,0.684,259,1125,499,198,50,376,544
Auburn NCAA,35,26,9,0.743,20.36,10.07,11,7,15,2,4,6,2785,2384,,1410,956,2135,0.448,396,1052,0.376,477,669,0.713,419,1212,501,330,168,424,636
Austin Peay,33,22,11,0.667,0.63,-4.37,13,5,10,2,8,7,2712,2413,,1335,973,2060,0.472,268,702,0.382,498,705,0.706,397,1215,454,252,110,392,595
